Reporter_Region,Partner_Countries,Arrlon,Arrlat,Partner_Continent,Unit,Export_Value_corrected
EU,Argentina,-63.616671999999994,-38.416097,South America,1000 US$,45099.92
USA,Argentina,-63.616671999999994,-38.416097,South America,1000 US$,80244.277
EU,Australia,133.775136,-25.274398,Oceania,1000 US$,302.61
USA,Australia,133.775136,-25.274398,Oceania,1000 US$,286.32
USA,Austria,14.550072,47.516231,Europe,1000 US$,9528.481
USA,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,52418.98
EU,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,125501.568
USA,Belgium,4.469936,50.503887,Europe,1000 US$,23554.694
USA,Brazil,-51.92528,-14.235004,South America,1000 US$,468468.992
EU,Brazil,-51.92528,-14.235004,South America,1000 US$,149314.445
EU,Canada,-106.34677099999999,56.130366,North America,1000 US$,44224.968
USA,Chile,-71.542969,-35.675146999999996,South America,1000 US$,78388.576
EU,Chile,-71.542969,-35.675146999999996,South America,1000 US$,26192.215
USA,China_Hong Kong SAR,114.10949699999999,22.396428,Asia,1000 US$,32242.158
EU,China_Hong Kong SAR,114.10949699999999,22.396428,Asia,1000 US$,11598.521999999999
EU,China_Taiwan Province of,120.96051499999999,23.69781,Asia,1000 US$,44900.409999999996
USA,China_Taiwan Province of,120.96051499999999,23.69781,Asia,1000 US$,140212.76
EU,China_mainland,116.38333100000001,39.916668,Asia,1000 US$,206336.19100000002
USA,China_mainland,116.38333100000001,39.916668,Asia,1000 US$,547266.683
USA,Colombia,-74.297333,4.570868,South America,1000 US$,147543.466
EU,Colombia,-74.297333,4.570868,South America,1000 US$,39129.835
EU,Congo,15.827658999999999,-0.228021,Africa,1000 US$,50912.353
USA,Congo,15.827658999999999,-0.228021,Africa,1000 US$,340.83
USA,Denmark,9.501785,56.26392,Europe,1000 US$,2115.069
USA,Finland,25.748151,61.92411,Europe,1000 US$,4689.342000000001
USA,Germany,10.451526,51.165690999999995,Europe,1000 US$,9833.876
USA,Indonesia,113.921327,-0.789275,Asia,1000 US$,338913.278
EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,203984.54600000003
EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,500988.445
USA,Iran,53.68804599999999,32.427908,Asia,1000 US$,23565.51
USA,Iraq,43.679291,33.223191,Asia,1000 US$,2427.4
EU,Iraq,43.679291,33.223191,Asia,1000 US$,173512.65699999995
USA,Italy,12.56738,41.87194,Europe,1000 US$,137655.009
EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,119833.99499999998
USA,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,373.34
USA,Kenya,37.906193,-0.023559,Africa,1000 US$,5223.75
EU,Kenya,37.906193,-0.023559,Africa,1000 US$,49385.441000000006
USA,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,18088.409
EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,127327.15000000001
USA,Malawi,34.301525,-13.254307999999998,Africa,1000 US$,403.91
EU,Malawi,34.301525,-13.254307999999998,Africa,1000 US$,2748.2039999999997
USA,Mauritius,57.552152,-20.348404000000002,Africa,1000 US$,255.06
EU,Mauritius,57.552152,-20.348404000000002,Africa,1000 US$,28985.241999999995
EU,Mexico,-102.552784,23.634501,North America,1000 US$,74201.107
USA,Morocco,-7.09262,31.791702,Africa,1000 US$,12830.153
EU,Morocco,-7.09262,31.791702,Africa,1000 US$,544918.9079999999
USA,Mozambique,35.529562,-18.665695,Africa,1000 US$,67.55
EU,Mozambique,35.529562,-18.665695,Africa,1000 US$,1450.99
USA,Netherlands,5.291266,52.132633,Europe,1000 US$,141998.19
USA,Paraguay,-58.44383199999999,-23.442503,South America,1000 US$,1577.98
EU,Paraguay,-58.44383199999999,-23.442503,South America,1000 US$,1801.908
USA,Peru,-75.015152,-9.189967,South America,1000 US$,168466.66
EU,Peru,-75.015152,-9.189967,South America,1000 US$,28263.173
USA,Poland,19.145135999999997,51.919438,Europe,1000 US$,6204.12
USA,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,29465.053
EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,625682.487
EU,Senegal,-14.452361999999999,14.497401000000002,Africa,1000 US$,46707.425
USA,Senegal,-14.452361999999999,14.497401000000002,Africa,1000 US$,1130.09
USA,Singapore,103.819836,1.352083,Asia,1000 US$,41978.7
EU,Singapore,103.819836,1.352083,Asia,1000 US$,19656.522
EU,South Africa,22.937506,-30.559482,Africa,1000 US$,132386.009
USA,South Africa,22.937506,-30.559482,Africa,1000 US$,47805.66099999999
USA,South Korea,127.766922,35.907757000000004,Asia,1000 US$,146623.18099999998
EU,South Korea,127.766922,35.907757000000004,Asia,1000 US$,159944.38499999998
USA,Suriname,-56.02778299999999,3.9193050000000005,South America,1000 US$,30468.107000000004
EU,Suriname,-56.02778299999999,3.9193050000000005,South America,1000 US$,1938.5220000000002
USA,Sweden,18.643501,60.128161,Europe,1000 US$,7334.151999999999
USA,Thailand,100.992541,15.870032,Asia,1000 US$,320713.372
EU,Thailand,100.992541,15.870032,Asia,1000 US$,287137.367
EU,Turkey,35.243322,38.963745,Asia,1000 US$,401673.30600000004
USA,Turkey,35.243322,38.963745,Asia,1000 US$,54184.427
EU,Uganda,32.290275,1.373333,Africa,1000 US$,49140.159
USA,Uganda,32.290275,1.373333,Africa,1000 US$,132.92
USA,United Kingdom,-3.435973,55.378051,Europe,1000 US$,73107.662
EU,United States of America,-95.712891,37.09024,North America,1000 US$,10816.775
EU,Uruguay,-55.765834999999996,-32.522779,South America,1000 US$,5850.656000000001
USA,Uruguay,-55.765834999999996,-32.522779,South America,1000 US$,518.19
EU,Vietnam,108.277199,14.058323999999999,Asia,1000 US$,59927.03999999999
USA,Vietnam,108.277199,14.058323999999999,Asia,1000 US$,44752.33
